condition,CLS,JUR,RAT,EXM,RCH,total
S0,0,30,0,0,19,49
C1,0,23,0,0,33,56
C2,0,0,15,0,19,34
C3,0,7,10,0,17,34
C4,0,6,1,0,39,46
