a,b,metric,n,mean_diff,ci_low,ci_high,cohen_dz,perm_p,mannwhitney_p_descriptive,ci_excludes_zero,material_positive,name
C2,C4,acc,40,0.059999999999999984,-0.005000000000000006,0.125,0.2750391821616293,0.11388611388611389,0.2622973473618062,False,False,C2_vs_C4
C3,C1,acc,40,0.11000000000000001,0.004999999999999999,0.21500000000000002,0.31367896871298856,0.06893106893106893,0.07234252766148663,True,True,C3_vs_C1
C3,C4,acc,40,0.06,-0.02,0.13512499999999988,0.23345900194694166,0.19480519480519481,0.17779553013676697,False,False,C3_vs_C4
