arm,phase,condition,n_cases,acc_mean,acc_ci_low,acc_ci_high,mean_tokens,target_tokens,deviation_pct,in_band,prompt_hash
S0,1,S0,40,0.7550000000000001,0.665,0.8400000000000001,11899.435000000001,,,,9d7ba74fa46456a49dceb43c359abc5a52082d174048be56d82d483e0566150d
S0prime_C2,2,S0prime_C2,40,0.7649999999999999,0.655,0.865,13230.215,14590.085,-9.320507728364838,True,3d56a837d0c56289fa126a06d6da344118213fe2e5777f0b7800a55abf4cff2d
S0prime_Cstar,4,S0prime_Cstar,40,0.76,0.65,0.8600000000000001,12864.419999999998,13590.655,-5.3436350197985485,True,3d56a837d0c56289fa126a06d6da344118213fe2e5777f0b7800a55abf4cff2d
