phase,mode,condition,case_id,acc,tokens,latency_ms
1,none,C3,eval_016,0.6,14427.2,17004.168336992734
1,none,C3,eval_017,1.0,12607.8,16417.7531000023
1,none,C3,eval_018,1.0,13683.0,17985.771342006046
1,none,C3,eval_019,1.0,13215.6,15505.22709399229
1,none,C3,eval_020,0.8,12241.8,16045.380106006633
1,none,C3,eval_021,1.0,11543.0,17699.173095999868
1,none,C3,eval_022,0.8,12657.0,16845.553998005926
1,none,C3,eval_023,1.0,12568.2,16496.75724899862
1,none,C3,eval_024,0.6,13148.4,17029.210660999524
1,none,C3,eval_025,1.0,13045.2,18293.83205900376
1,none,C3,eval_026,1.0,10826.4,15018.233789000078
1,none,C3,eval_027,1.0,10781.6,14727.768438009662
1,none,C3,eval_028,0.6,21518.6,20515.530160992057
1,none,C3,eval_029,0.8,12960.6,17442.311406004592
1,none,C3,eval_030,0.4,21840.2,22378.79306600371
1,none,C3,eval_031,0.2,29998.6,35628.490874994895
1,none,C3,eval_032,1.0,14976.4,22719.24107099767
1,none,C3,eval_033,1.0,11546.0,15527.032938989578
1,none,C3,eval_034,1.0,13961.8,19882.57884900668
1,none,C3,eval_035,1.0,12415.6,18977.252801996656
1,none,C3,eval_036,1.0,11880.4,19024.546107000788
1,none,C3,eval_037,0.2,22990.2,19142.5209230074
1,none,C3,eval_038,1.0,12545.0,16878.375807995326
1,none,C3,eval_039,0.8,17270.6,18708.73174000008
1,none,C3,eval_040,0.0,12019.6,17297.073880006792
1,none,C4,eval_001,1.0,15223.8,16374.899643997196
1,none,C4,eval_002,1.0,15258.0,16576.71198400203
1,none,C4,eval_003,0.8,15274.0,16834.385520007345
1,none,C4,eval_004,0.6,15123.4,18791.62213699601
1,none,C4,eval_005,1.0,14319.4,17089.7498960112
1,none,C4,eval_006,1.0,13787.4,15472.15898700233
1,none,C4,eval_007,1.0,15132.2,18844.854080991357
1,none,C4,eval_008,0.6,15004.2,17773.7148610031
1,none,C4,eval_009,1.0,15078.6,16008.674150012666
1,none,C4,eval_010,1.0,13525.6,16249.306743004126
1,none,C4,eval_011,0.8,15537.0,17302.743322987226
1,none,C4,eval_012,0.8,15619.6,17776.33806000813
1,none,C4,eval_013,0.8,15583.0,16795.08728699875
1,none,C4,eval_014,0.6,15455.4,20854.138304988737
1,none,C4,eval_015,0.6,15394.0,16402.40308600187
1,none,C4,eval_016,0.6,15810.0,21837.188453995623
1,none,C4,eval_017,0.4,15938.2,18684.67207100184
1,none,C4,eval_018,0.8,15353.0,17894.538225998986
1,none,C4,eval_019,0.4,15417.2,18054.51762500161
1,none,C4,eval_020,0.4,15536.6,17754.50277198979
1,none,C4,eval_021,1.0,15697.4,17906.492792011704
1,none,C4,eval_022,0.8,15667.4,18044.398112993804
1,none,C4,eval_023,0.8,15505.8,20249.97416700353
1,none,C4,eval_024,0.2,15678.8,18362.28760000085
1,none,C4,eval_025,1.0,15716.0,19100.987215002533
1,none,C4,eval_026,1.0,14330.8,15891.643861003104
1,none,C4,eval_027,1.0,14386.8,17933.946429999196
1,none,C4,eval_028,1.0,15481.0,18466.601997992257
1,none,C4,eval_029,0.8,15311.6,20003.1662699912
1,none,C4,eval_030,1.0,15471.2,20683.49874699197
1,none,C4,eval_031,0.4,18795.4,20524.88824600005
1,none,C4,eval_032,1.0,18761.2,21086.58174799348
1,none,C4,eval_033,1.0,16685.2,20146.64674300002
1,none,C4,eval_034,1.0,18720.6,21425.47503800597
1,none,C4,eval_035,1.0,18323.2,22885.62718400499
1,none,C4,eval_036,0.4,17149.4,19755.23871499172
1,none,C4,eval_037,0.2,17282.4,19749.026585006504
1,none,C4,eval_038,1.0,17675.8,20314.255345991118
1,none,C4,eval_039,1.0,16974.0,19672.458874993023
1,none,C4,eval_040,0.0,16826.2,22771.407694002846
1,none,S0,eval_001,1.0,13112.2,10938.847870987956
1,none,S0,eval_002,1.0,10792.8,11778.40559098695
1,none,S0,eval_003,1.0,8928.2,9570.908683992457
1,none,S0,eval_004,1.0,9782.8,10605.74525500124
1,none,S0,eval_005,1.0,9227.2,9694.590675004292
1,none,S0,eval_006,1.0,9038.4,9408.17785001127
1,none,S0,eval_007,1.0,9700.8,11227.84335000324
1,none,S0,eval_008,0.0,9963.6,11036.18598000321
1,none,S0,eval_009,1.0,8997.8,9823.467331996651
1,none,S0,eval_010,1.0,9078.0,9473.943467994104
1,none,S0,eval_011,1.0,9788.8,11427.024577002156
1,none,S0,eval_012,0.4,13282.4,12593.678797013126
1,none,S0,eval_013,0.8,9257.8,10592.975665989798
1,none,S0,eval_014,1.0,9754.0,10768.55649999925
1,none,S0,eval_015,0.6,12666.2,12566.730534003
1,none,S0,eval_016,0.8,9094.4,10793.76276199764
1,none,S0,eval_017,1.0,12649.4,12148.241041999428
1,none,S0,eval_018,1.0,10198.6,10790.005508999457
1,none,S0,eval_019,0.8,12183.0,11288.755083005526
1,none,S0,eval_020,0.8,11464.0,10515.440073999343
1,none,S0,eval_021,0.6,13313.8,11783.683674002532
1,none,S0,eval_022,0.6,14425.0,14439.964486999088
1,none,S0,eval_023,0.6,14700.6,15230.703794004512
1,none,S0,eval_024,0.6,14093.6,14634.193682999468
1,none,S0,eval_025,1.0,16295.6,12817.82785699761
1,none,S0,eval_026,1.0,12103.4,10356.161103001796
1,none,S0,eval_027,0.8,11621.8,10868.815662004636
1,none,S0,eval_028,0.2,11093.4,11426.59012999502
1,none,S0,eval_029,0.8,16243.4,15655.120550989524
1,none,S0,eval_030,0.6,15823.6,15356.66629798652
1,none,S0,eval_031,0.4,13851.8,15696.67535201006
1,none,S0,eval_032,0.4,12949.4,14306.056892994093
1,none,S0,eval_033,0.8,9943.4,12723.152352002217
1,none,S0,eval_034,1.0,11805.2,18810.24621300457
1,none,S0,eval_035,1.0,12167.2,14965.116036997642
1,none,S0,eval_036,1.0,15699.2,16684.680339996703
1,none,S0,eval_037,0.6,15831.8,16325.616961999913
1,none,S0,eval_038,0.0,11063.6,12567.939380998723
1,none,S0,eval_039,1.0,11312.2,12023.35819399741
1,none,S0,eval_040,0.0,12679.0,15141.525907005416
