a,b,metric,n,mean_diff,ci_low,ci_high,cohen_dz,perm_p,mannwhitney_p_descriptive,ci_excludes_zero,material_positive,name,holm_adjusted,holm_reject
S0,C1,acc,40,0.034999999999999996,-0.034999999999999996,0.11000000000000001,0.14378062765173652,0.4355644355644356,0.6210340195267854,False,False,S0_vs_C1,0.8431568431568431,False
C1,C4,acc,40,-0.05000000000000001,-0.16,0.049999999999999996,-0.14785461287049928,0.42157842157842157,0.5578315029329565,False,False,C1_vs_C4,0.8431568431568431,False
C2,C1,acc,40,0.11000000000000001,0.01000000000000002,0.21000000000000002,0.340257652187903,0.04295704295704296,0.10540946872256829,True,True,C2_vs_C1,0.1288711288711289,False
S0prime_C2,C2,acc,0,,,,,,,,,S0primeC2_vs_C2,,
