condition,n_cases,n_runs,acc_mean,acc_ci_low,acc_ci_high,total_tokens_mean,total_tokens_ci_low,total_tokens_ci_high,latency_s_median,latency_s_ci_low,latency_s_ci_high,trace_consistent_mean,terminal_failure_rate
S0,40,200,0.7550000000000001,0.665,0.8400000000000001,11899.435000000001,11217.0805,12627.813875000002,11.78104463249474,11.03618598000321,12.658415574507671,1.0,0.0
C1,40,200,0.72,0.625,0.8099999999999999,11316.679999999998,10598.951625,12000.463750000003,12.080094645003555,11.347695230102545,12.565717509998649,1.0,0.0
C2,40,200,0.8300000000000001,0.75,0.9099999999999999,14590.085000000001,12970.937,16416.366499999996,15.75390298650018,15.171236784008215,16.291881800003466,0.985,0.015
C3,40,200,0.8300000000000001,0.745,0.9149999999999998,13590.654999999999,12507.093125000001,14927.998125000002,16.69763811750454,16.16465965550014,17.430125868006144,0.985,0.015
C4,40,200,0.7699999999999999,0.6848749999999999,0.8550000000000001,15845.27,15456.89425,16238.133249999999,18.414444798996556,17.835438143003557,19.71082038162458,1.0,0.0
