phase,mode,condition,case_id,acc,tokens,latency_ms
1,none,C3,eval_016,1.0,12894.2,16102.03076199832
1,none,C3,eval_017,1.0,12838.4,14970.590445002015
1,none,C3,eval_018,1.0,12393.0,15429.52365599922
1,none,C3,eval_019,1.0,11428.0,14788.380409001547
1,none,C3,eval_020,1.0,12314.2,14745.886336000694
1,none,C3,eval_021,1.0,12957.8,15761.96123399859
1,none,C3,eval_022,0.8,15393.0,18797.13543200341
1,none,C3,eval_023,0.4,14309.8,17371.679240997764
1,none,C3,eval_024,1.0,10880.0,14566.424413002096
1,none,C3,eval_025,0.4,14679.8,14906.5136049976
1,none,C3,eval_026,1.0,10512.4,13681.78566700226
1,none,C3,eval_027,1.0,10438.2,13351.902497997798
1,none,C3,eval_028,0.6,14653.4,18599.92357900046
1,none,C3,eval_029,0.6,13434.2,16323.01014499535
1,none,C3,eval_030,0.8,13411.2,15177.032314000826
1,none,C3,eval_031,0.0,15832.2,20973.380820003516
1,none,C3,eval_032,0.0,14498.0,19196.08818200504
1,none,C3,eval_033,0.0,11182.6,13622.222008998506
1,none,C3,eval_034,0.2,13775.6,19392.23207000032
1,none,C3,eval_035,0.2,14763.8,16546.477527997922
1,none,C3,eval_036,1.0,11964.4,16513.27840900194
1,none,C3,eval_037,0.0,13171.0,18188.27120099741
1,none,C3,eval_038,0.0,13096.6,15629.58647400228
1,none,C3,eval_039,0.0,17657.0,16477.569743001368
1,none,C3,eval_040,0.0,11743.4,16680.85765899741
1,none,C4,eval_001,0.8,16105.6,16313.428900997678
1,none,C4,eval_002,0.6,15167.6,15649.599735996162
1,none,C4,eval_003,1.0,15211.2,15734.942005998164
1,none,C4,eval_004,0.0,16587.6,16762.536640999315
1,none,C4,eval_005,1.0,13970.4,15729.183109004223
1,none,C4,eval_006,1.0,13404.8,14838.797529002475
1,none,C4,eval_007,1.0,15159.8,16204.903896999896
1,none,C4,eval_008,0.2,15030.6,15698.834174996591
1,none,C4,eval_009,0.6,15068.4,16399.44692199788
1,none,C4,eval_010,1.0,13419.0,15911.688708998554
1,none,C4,eval_011,0.6,15469.0,15606.2103630029
1,none,C4,eval_012,0.8,15536.6,17080.62494600017
