a,b,metric,n,mean_diff,ci_low,ci_high,cohen_dz,perm_p,mannwhitney_p_descriptive,ci_excludes_zero,material_positive,name
C2,C4,acc,40,-0.12,-0.25,0.014999999999999996,-0.2750391821616293,0.09290709290709291,0.2792611019033051,False,False,C2_vs_C4
C3,C1,acc,40,-0.065,-0.2,0.05499999999999998,-0.15179667933022947,0.37662337662337664,0.6520867900405409,False,False,C3_vs_C1
C3,C4,acc,40,0.10499999999999998,0.02999999999999999,0.19,0.40364716583020693,0.012987012987012988,0.12182615153296006,True,True,C3_vs_C4
