a,b,metric,n,mean_diff,ci_low,ci_high,cohen_dz,perm_p,mannwhitney_p_descriptive,ci_excludes_zero,material_positive,name,holm_adjusted,holm_reject
S0,C1,acc,40,0.08,-1.387778780781367e-19,0.15512499999999987,0.31323027878410764,0.07192807192807193,0.283892250994064,False,False,S0_vs_C1,0.07192807192807193,False
C1,C4,acc,40,0.17,0.075,0.27999999999999997,0.46718415850184136,0.006993006993006993,0.030666109125127128,True,True,C1_vs_C4,0.013986013986013986,True
C2,C1,acc,40,-0.29000000000000004,-0.44499999999999995,-0.135,-0.6106434331552757,0.001998001998001998,0.00504617652354411,True,False,C2_vs_C1,0.005994005994005994,True
S0prime_C2,C2,acc,0,,,,,,,,,S0primeC2_vs_C2,,
